compound_id	compound_name	compound_unii
988	LIMONENE, (+)-	GFD7C86Q1W
990	METHYLCHLOROISOTHIAZOLINONE	DEL7T5QRPN
993	NAPHTHALENE	2166IN72UN
1003	PHENOLSULFONPHTHALEIN	I6G9Y0J1OJ
1009	PROTOPORPHYRIN	C2K325S808
1010	RIBOFLAVIN TETRABUTYRATE	F211C9MSGY
1015	THIAMINE DISULFIDE	UJV8K21YKL
1016	THIAMPHENICOL AMINOACETATE	W5H94CY6V6
1017	THIOCTIC ACID AMIDE	Q1GT04827L
1018	THIOINOSINE	46S541971T
1021	2,4,6-TRIBROMOPHENOL	YS6K3EU393
1032	ESTRIOL TRIPROPIONATE	S2A0P1AFQ9
1037	NANDROLONE CYCLOHEXYLPROPIONATE	K4NE48GG1Y
1040	TETRAGASTRIN	0OL293AV80
1042	TENOFOVIR ANHYDROUS	W4HFE001U5
1043	PACLITAXEL	P88XT4IS4D
1044	HYDROCORTISONE	WI4X0X7BPJ
1045	ESTRADIOL	4TI98Z838E
1047	TESTOSTERONE	3XMK78S47O
1048	GRISEOFULVIN	32HRV3E3D5
1049	FLUPHENAZINE	S79426A41Z
1050	METHYLPREDNISOLONE	X4W7ZR7023
1051	HALOPERIDOL	J6292F8L3D
1052	PAROXETINE	41VRH5220H
1053	DEXTROMETHORPHAN	7355X3ROTS
1055	PHENYTOIN	6158TKW0C5
1056	LOXAPINE	LER583670J
1057	NORETHINDRONE	T18F433X4S
1058	TREPROSTINIL	RUM6K67ESG
1060	ALBUTEROL	QF8SVZ843E
1061	ETOPOSIDE	6PLQ3CP4P3
1062	RANITIDINE	884KT10YB7
1063	TRIAMCINOLONE ACETONIDE	F446C597KA
1064	FENOFIBRATE	U202363UOS
1065	FLUOROMETHOLONE	SV0CSG527L
1066	PALIPERIDONE	838F01T721
1067	PROPOFOL	YI7VU623SF
1068	BUPIVACAINE	Y8335394RO
1069	ENALAPRILAT ANHYDROUS	Q508Q118JM
1070	METRONIDAZOLE	140QMO216E
1071	RIBOFLAVIN	TLM2976OFR
1072	SULFISOXAZOLE	740T4C525W
1074	ESTRONE	2DI9HA706A
1075	TRIAMCINOLONE	1ZK20VI6TY
1076	DIGITOXIN	E90NZP2L9U
1077	NIACIN	2679MF687A
1080	HYDROXOCOBALAMIN	Q40X8H422O
1081	CHOLECALCIFEROL	1C6V77QF41
1083	ARFORMOTEROL	F91H02EBWT
1085	DASATINIB	RBZ1571X5H
1086	DOCETAXEL	15H5577CQD
1087	HALOBETASOL	9P6159HM7T
1088	LEVOMEFOLATE CALCIUM	A9R10K3F2F
1089	SITAGLIPTIN	QFP0P1DV7Z
1090	SPECTINOMYCIN	93AKI1U6QF
1091	TERAZOSIN	8L5014XET7
1092	BROMPHENIRAMINE	H57G17P2FN
1094	IBUPROFEN	WK2XYI10QM
1095	AMPHETAMINE	CK833KGX7E
1096	DEXTROAMPHETAMINE SULFATE	JJ768O327N
1097	NITROFURANTOIN	927AH8112L
1098	TRIMETHOPRIM	AN164J8Y0X
1099	NALTREXONE	5S6W795CQM
1100	TRIPELENNAMINE	3C5ORO99TY
1101	OLANZAPINE	N7U69T4SZR
1102	PHENYLBUTYRIC ACID	7WY7YBI87E
1103	ACETAZOLAMIDE	O3FX965V0I
1104	AZATHIOPRINE	MRK240IY2L
1105	BECLOMETHASONE	KGZ1SLC28Z
1106	BIPERIDEN	0FRP6G56LD
1107	CEFOXITIN	6OEV9DX57Y
1108	CHLOROTHIAZIDE	77W477J15H
